Date,Daily Return,Mkt-RF,SMB,HML,RF,Strategy return,dividends,tc
2003-03-12,-2.86E-05,0.0032,-0.003,-0.0062,0.00005,-0.00183043,0.001851853,0
2003-03-13,-1.36E-03,0.0339,-0.009,-0.0056,0.00005,-0.002405831,0.001094158,0
2003-03-14,1.40E-03,0.0013,-0.0052,0.0024,0.00005,0.001277177,0.000173641,0
2003-03-17,7.17E-05,0.0341,-0.0077,-0.0016,0.00005,8.60E-05,3.57E-05,0
2003-03-18,2.32E-03,0.0044,0.006,-0.0079,0.00005,0.002014702,0.000352838,0
2003-03-19,-3.84E-04,0.0072,-0.0042,-0.0029,0.00005,-0.000333642,0,0
2003-03-20,-2.47E-03,0.0028,-0.0003,0.0055,0.00005,-0.002420092,0,0
2003-03-21,1.08E-03,0.0219,-0.0082,-0.0009,0.00005,0.00097467,0.000156814,0
2003-03-24,-1.21E-03,-0.0336,0.0124,0.0015,0.00005,-0.001159356,0,0
2003-03-25,-1.27E-03,0.0121,-0.0012,-0.0002,0.00005,-0.001323038,0.000106403,0
2003-03-26,3.53E-03,-0.0055,-0.0015,-0.0037,0.00005,0.003580077,0,0
2003-03-27,2.04E-03,-0.0009,0.0067,-0.0002,0.00005,0.001628789,0.00048222,2.44E-05
2003-03-28,1.52E-03,-0.0048,0.003,0.0017,0.00005,0.001461264,0.00011115,0
2003-03-31,1.80E-03,-0.0165,0.0077,0.0034,0.00005,0.001849101,0,0
2003-04-01,1.52E-03,0.0112,-0.0027,0.0032,0.00005,0.001433457,0.000139755,0
2003-04-02,3.47E-03,0.026,-0.0035,-0.0077,0.00005,0.003327584,0.000187503,0
2003-04-03,1.17E-03,-0.0049,0.0044,-0.0005,0.00005,0.00117236,0.00005205,0
2003-04-04,8.20E-04,0.0015,-0.0078,0.0044,0.00005,0.000828157,4.19E-05,0
2003-04-07,3.17E-03,0.0018,0.004,0.006,0.00005,0.003020146,0.000201089,0
2003-04-08,-1.99E-03,-0.0024,-0.0033,0.0016,0.00005,-0.002000922,6.16E-05,0
2003-04-09,6.03E-04,-0.0128,0.0049,0.0077,0.00005,0.000455947,0.000197365,0
2003-04-10,6.74E-04,0.0052,-0.0026,-0.0023,0.00005,0.000646919,0.00007746,0
2003-04-11,1.38E-03,-0.0032,0.0005,-0.0008,0.00005,-0.000169396,0.001594646,0
2003-04-14,7.39E-04,0.0188,-0.004,-0.0002,0.00005,0.000168295,0.000621067,0
2003-04-15,2.81E-03,0.0062,0.0005,-0.0036,0.00005,0.00274496,0.000115713,0
2003-04-16,1.81E-03,-0.0111,0.0061,-0.0004,0.00005,0.001820287,0.00004392,0
2003-04-17,1.38E-03,0.0152,0.0002,0.0006,0.00005,0.00127167,0.000153684,0
2003-04-21,4.15E-03,-0.0011,0.004,0.0004,0.00005,0.004062018,0.000140401,0
2003-04-22,2.49E-05,0.0207,-0.0093,0.0024,0.00005,-0.0001086,0.000183519,0
2003-04-23,2.17E-03,0.0089,-0.0027,0.0036,0.00005,0.002112922,0.000105147,0
2003-04-24,1.88E-03,-0.0081,0.0055,-0.002,0.00005,0.001619871,0.000310182,0
2003-04-25,-2.51E-03,-0.013,0.0064,-0.0007,0.00005,-0.002535602,0.000083476,1.21E-05
2003-04-28,6.58E-04,0.0176,-0.0002,-0.0012,0.00005,0.000707531,0,0
2003-04-29,4.75E-03,0.0034,-0.0024,-0.0025,0.00005,0.0047995,0,0
2003-04-30,2.36E-03,0.0003,0.0074,0.0024,0.00005,0.002324712,8.93E-05,0
2003-05-01,2.78E-03,-0.0003,0.0041,-0.0022,0.00004,0.002831549,0,1.20E-05
2003-05-02,1.92E-03,0.0156,0.0056,-0.004,0.00004,0.001865001,9.86E-05,0
2003-05-05,4.95E-03,-0.0019,0.0083,-0.0037,0.00004,0.004760975,0.000224605,0
2003-05-06,3.01E-03,0.008,-0.0015,0.0014,0.00004,0.003051803,0,0
2003-05-07,1.37E-03,-0.0046,-0.0009,0.006,0.00004,0.001407038,0,0
2003-05-08,-1.44E-04,-0.0099,0.0051,0.0006,0.00004,-0.000164851,6.05E-05,0
2003-05-09,1.01E-03,0.0139,0.001,-0.0016,0.00004,0.000983829,0.000064285,0
2003-05-12,3.20E-03,0.0125,-0.001,-0.0009,0.00004,0.003169051,0.0000735,0
2003-05-13,3.76E-03,-0.0023,0.0042,0.0036,0.00004,0.002290102,0.001514453,0
2003-05-14,2.56E-03,-0.0023,0.0026,0.0004,0.00004,0.001481911,0.001118008,0
2003-05-15,6.15E-04,0.0074,-0.0016,-0.0003,0.00004,0.000372362,0.00028229,0
2003-05-16,5.68E-04,-0.0031,-0.017,0.0107,0.00004,0.000510452,9.78E-05,0
2003-05-19,2.00E-03,-0.023,0.0085,0.0001,0.00004,0.001991923,0.000043375,0
2003-05-20,-8.97E-04,-0.0012,0.0014,-0.0008,0.00004,-0.0008947,0.000038025,0
2003-05-21,1.42E-03,0.0041,-0.0026,0.0036,0.00004,0.001002302,0.0004574,0
2003-05-22,2.53E-03,0.0096,-0.0019,0.0005,0.00004,0.00229039,0.000280931,0
2003-05-23,4.28E-03,0.0026,0.0028,0.0044,0.00004,0.003816025,0.000505501,0
2003-05-27,2.41E-03,0.0195,0.0057,-0.0113,0.00004,0.00244911,0.0000034,0
2003-05-28,4.03E-03,0.0022,0.0075,-0.0044,0.00004,0.004105517,0,3.55E-05
2003-05-29,1.44E-03,-0.0026,0.0099,0.002,0.00004,0.001478937,0,0
2003-05-30,2.67E-03,0.0153,0.0026,0.0004,0.00004,0.00270918,0,0
2003-06-02,3.58E-03,0.0039,-0.0032,0.0068,0.00005,0.003596666,3.70E-05,0
2003-06-03,3.09E-03,0.0039,0.0011,-0.0056,0.00005,0.003092297,4.75E-05,0
2003-06-04,3.15E-03,0.0156,0.0011,0.0013,0.00005,0.002815409,0.000381265,0
2003-06-05,3.43E-03,0.0055,0.009,-0.0072,0.00005,0.003374014,0.000107362,0
2003-06-06,3.54E-03,-0.0033,-0.001,-0.004,0.00005,0.003449243,0.000140038,0
2003-06-09,-1.11E-03,-0.0131,-0.0024,0.0001,0.00005,-0.001092909,0.000028644,0
2003-06-10,2.78E-04,0.0095,0.0046,-0.0002,0.00005,-0.001192564,0.001520075,0
2003-06-11,3.69E-03,0.0129,-0.0046,0.0038,0.00005,0.002648865,0.001093977,0
2003-06-12,3.53E-03,0.0018,0.0002,0.0036,0.00005,0.003584228,0,0
2003-06-13,1.30E-03,-0.0102,-0.0021,0.0007,0.00005,0.001186977,0.000162435,0
2003-06-16,-2.59E-04,0.0215,-0.0037,-0.0054,0.00005,-0.000209498,0,0
2003-06-17,3.73E-03,0.0013,0.003,-0.0033,0.00005,0.003794326,0,1.18E-05
2003-06-18,-1.31E-03,-0.0015,0.0031,-0.0016,0.00005,-0.001307022,4.73E-05,0
2003-06-19,-2.93E-03,-0.0149,0.0005,0.0065,0.00005,-0.003124256,0.000244906,0
2003-06-20,-3.46E-03,0.0005,-0.0019,0.0007,0.00005,-0.003690151,0.000277326,0
2003-06-23,-2.83E-03,-0.0152,-0.0063,0.0017,0.00005,-0.002780577,0,0
2003-06-24,-6.05E-03,0.0019,0.0007,0.0023,0.00005,-0.005996743,0,0
2003-06-25,1.74E-03,-0.006,0.0107,-0.0001,0.00005,0.001673349,0.000130008,1.17E-05
2003-06-26,2.75E-03,0.0112,0.0039,-0.0047,0.00005,0.002388521,0.000424096,1.16E-05
2003-06-27,2.01E-03,-0.0084,0.0056,0.0022,0.00005,0.001957129,9.99E-05,0
2003-06-30,-1.81E-04,-0.0017,-0.0014,0.0035,0.00005,-0.000130666,0,0
2003-07-01,1.94E-03,0.0073,-0.0043,-0.0006,0.00003,0.001765991,0.0002034,0
2003-07-02,3.71E-03,0.0128,0.0106,0.0009,0.00003,0.003694886,4.74E-05,0
2003-07-03,4.02E-03,-0.0072,0.0027,-0.001,0.00003,0.003979706,6.55E-05,0
2003-07-07,1.82E-03,0.0191,-0.0016,0.0035,0.00003,0.001695024,0.000151264,0
2003-07-08,5.05E-04,0.0051,0.0131,0.0005,0.00003,0.000535269,0,0
2003-07-09,-9.21E-04,-0.0034,0.0099,0.0035,0.00003,-0.001305945,0.000414925,0
2003-07-10,-1.02E-03,-0.0133,0,-0.0028,0.00003,-0.002444268,0.001451902,0
2003-07-11,-3.85E-03,0.0092,0.0007,-0.0006,0.00003,-0.003875237,5.71E-05,0
2003-07-14,3.05E-03,0.0073,0.0014,0.0024,0.00003,0.003081225,0,0
2003-07-15,6.98E-04,-0.0041,0.0009,-0.0006,0.00003,7.41E-05,0.000653402,0
2003-07-16,-8.18E-03,-0.0064,0.0021,-0.0027,0.00003,-0.008279503,0.000125444,0
2003-07-17,-1.04E-02,-0.0145,-0.0122,-0.0048,0.00003,-0.010343707,0,0
2003-07-18,-1.01E-02,0.0108,-0.0015,-0.0009,0.00003,-0.010196595,0.000174695,1.16E-05
2003-07-21,5.46E-03,-0.0142,0.0003,-0.0042,0.00003,0.005456204,3.25E-05,0
2003-07-22,-6.19E-03,0.0097,0.003,0.0045,0.00003,-0.006399515,0.000241263,0
2003-07-23,5.76E-04,0.0018,0.0066,-0.01,0.00003,0.000472859,0.000133013,0
2003-07-24,5.09E-03,-0.0065,0.0024,0.0044,0.00003,0.004834238,0.000282754,0
2003-07-25,-4.30E-05,0.0151,-0.0063,-0.0031,0.00003,-9.14E-05,0.000078449,0
2003-07-28,1.78E-03,-0.0002,0.0096,0.0029,0.00003,0.00180933,0,0
2003-07-29,-5.84E-03,-0.0057,0.0051,-0.0003,0.00003,-0.005777758,0,3.41E-05
2003-07-30,-7.01E-03,-0.0018,0.0028,-0.0067,0.00003,-0.006976153,0,0
2003-07-31,2.71E-03,0.0032,0.0026,0.0024,0.00003,0.002742093,0,0
2003-08-01,-4.45E-03,-0.0106,-0.0046,-0.0012,0.00003,-0.004501285,8.55E-05,0
2003-08-04,-6.60E-03,0.0011,-0.0063,-0.0034,0.00003,-0.006631791,5.92E-05,0
2003-08-05,-4.42E-03,-0.0171,0.0038,-0.0004,0.00003,-0.004524595,0.000134738,0
2003-08-06,-2.15E-03,0.0002,-0.0098,0.0045,0.00003,-0.002119899,0,0
2003-08-07,2.47E-03,0.0057,-0.0049,-0.0052,0.00003,0.002027615,0.0004678,0
2003-08-08,4.92E-03,0.0033,-0.0046,0.0012,0.00003,0.004884749,0.00006141,0
2003-08-11,4.09E-03,0.0043,0.0071,-0.0002,0.00003,0.003997507,0.00012217,0
2003-08-12,4.70E-03,0.0109,0.0047,0.001,0.00003,0.002082565,0.002646341,0
2003-08-13,-9.22E-04,-0.005,0.0068,0.0004,0.00003,-0.000892029,0,0
2003-08-14,-2.67E-03,0.0062,0.0009,0.0043,0.00003,-0.002851709,0.000213908,0
2003-08-15,-1.06E-03,0.001,0.0021,-0.0017,0.00003,-0.001402616,0.000369957,0
2003-08-18,2.37E-03,0.0103,0.0086,0.0008,0.00003,0.002323185,0.00007404,0
2003-08-19,5.19E-04,0.0043,0.0098,0.0061,0.00003,0.000549185,0,0
2003-08-20,2.27E-03,-0.0014,0.0037,0.0003,0.00003,0.002295851,0,0
2003-08-21,1.42E-03,0.0047,0.006,0.0031,0.00003,0.001452784,0,0
2003-08-22,8.72E-04,-0.0106,-0.0059,0.0011,0.00003,0.000761227,0.00014036,0
2003-08-25,-1.03E-03,-0.0004,-0.001,-0.0032,0.00003,-0.001406244,0.000406678,0
2003-08-26,-3.97E-03,0.0029,0.0018,0.0008,0.00003,-0.003938242,0,0
2003-08-27,-9.80E-04,0.0017,0.0082,0.0005,0.00003,-0.000916074,0,3.35E-05
2003-08-28,2.84E-03,0.007,0.0022,0.0026,0.00003,0.002869943,0,0
2003-08-29,3.59E-03,0.0053,-0.0033,0.0032,0.00003,0.00358358,0.000035915,0
2003-09-02,3.01E-03,0.014,0.0054,-0.0008,0.00004,0.00304912,0,0
2003-09-03,2.26E-03,0.0042,0.0027,0.0027,0.00004,0.001858064,0.000441452,0
2003-09-04,9.42E-04,0.0022,0.0045,-0.0016,0.00004,0.000763332,0.000218555,0
2003-09-05,2.25E-03,-0.0062,-0.0006,0.0023,0.00004,0.00220414,8.18E-05,0
2003-09-08,3.07E-03,0.0107,0.0064,-0.0015,0.00004,0.003047408,0.000064182,0
2003-09-09,3.65E-03,-0.0079,0.003,-0.0024,0.00004,0.003687579,0,0
2003-09-10,-1.09E-03,-0.0137,-0.0053,-0.0063,0.00004,-0.001530442,0.000484545,0
2003-09-11,-1.23E-03,0.0062,0.0059,0.001,0.00004,-0.002780548,0.001587757,0
2003-09-12,1.55E-03,0.0023,0.0017,0.0014,0.00004,0.000650388,0.000944449,0
2003-09-15,1.16E-03,-0.0035,0.0024,-0.0013,0.00004,0.001156872,4.06E-05,0
2003-09-16,1.02E-03,0.014,0.0009,0.001,0.00004,0.000894007,0.000168779,0
2003-09-17,2.14E-03,-0.0026,0.0016,0.0022,0.00004,0.002118524,0.00006198,0
2003-09-18,2.18E-03,0.0125,-0.0055,0.0024,0.00004,0.002142494,0.000075145,0
2003-09-19,2.26E-03,-0.0023,0.0047,0.0001,0.00004,0.002062702,0.0002357,0
2003-09-22,-2.54E-03,-0.013,0.0019,0.0014,0.00004,-0.00267088,0.000167649,0
2003-09-23,-2.87E-03,0.0065,0.0051,0.0004,0.00004,-0.002921082,0.00009588,0
2003-09-24,1.49E-03,-0.0188,-0.0021,0.0008,0.00004,0.001446566,7.94E-05,0
2003-09-25,-7.33E-04,-0.0081,-0.0161,-0.0025,0.00004,-0.001238433,0.000545594,0
2003-09-26,-1.04E-04,-0.0084,-0.0126,0.0002,0.00004,-5.32E-05,0,1.11E-05
2003-09-29,4.96E-04,0.0098,0.0048,0.001,0.00004,0.000536471,0,0
2003-09-30,2.04E-03,-0.0096,-0.0003,0.0011,0.00004,0.00188464,0.000197799,0
2003-10-01,2.55E-03,0.0216,0.0037,0.0017,0.00003,0.002576633,0,0
2003-10-02,4.31E-03,0.0031,0.0013,0.0011,0.00003,0.004290484,0.00004755,0
2003-10-03,3.47E-03,0.0102,0.0068,-0.0002,0.00003,0.003404385,9.16E-05,0
2003-10-06,-8.37E-04,0.0049,0.0036,0.0038,0.00003,-0.000877144,7.00E-05,0
2003-10-07,1.83E-03,0.0051,0.0033,0.0015,0.00003,0.001862121,0,0
2003-10-08,2.56E-03,-0.0048,-0.0028,0.0019,0.00003,0.00202634,0.000566921,0
2003-10-09,2.30E-03,0.0055,0.0027,0.0038,0.00003,0.002288371,0.00004122,0
2003-10-10,2.99E-03,-0.0008,-0.0043,0.0045,0.00003,0.001446331,0.001577253,0
2003-10-13,3.33E-03,0.0081,0.0078,0.0012,0.00003,0.003338244,0.000025974,0
2003-10-14,1.46E-03,0.0044,0.0048,0.0016,0.00003,0.001493842,0,0
2003-10-15,-4.12E-05,-0.0036,-0.003,-0.0009,0.00003,-0.000720152,0.000708919,0
2003-10-16,-1.54E-03,0.0035,0.0012,0.0003,0.00003,-0.00168189,0.000178681,1.10E-05
2003-10-17,4.09E-04,-0.0111,-0.0049,-0.0003,0.00003,0.000405912,0.00003289,0
2003-10-20,-1.76E-04,0.0041,-0.001,-0.0021,0.00003,-0.000218539,7.24E-05,0
2003-10-21,4.28E-04,0.0024,0.0064,-0.0022,0.00003,0.000457668,0,0
2003-10-22,1.37E-03,-0.0152,-0.0067,-0.0004,0.00003,0.001166159,0.000229983,0
2003-10-23,-2.72E-03,0.0022,-0.007,-0.003,0.00003,-0.002690761,0,0
2003-10-24,1.23E-03,-0.0045,-0.0034,-0.0001,0.00003,0.001134023,0.000128154,0
2003-10-27,6.41E-04,0.004,0.0115,0.0038,0.00003,0.000599025,0.000071715,0
2003-10-28,2.82E-03,0.0159,0.0048,-0.0019,0.00003,0.002557948,0.000295719,0
2003-10-29,4.27E-03,0.0028,0.0081,0.0025,0.00003,0.00432478,0,2.19E-05
2003-10-30,1.35E-03,-0.0011,-0.0014,0.0028,0.00003,0.001382411,0,0
2003-10-31,-1.37E-03,0.0028,-0.0059,-0.0012,0.00003,-0.001420861,8.09E-05,0
2003-11-03,5.63E-03,0.0093,0.0067,0.0045,0.00004,0.005672501,0,0
2003-11-04,1.01E-03,-0.0045,0.0075,0.004,0.00004,0.000954593,9.22E-05,0
2003-11-05,1.81E-03,-0.0004,0.0022,-0.0007,0.00004,0.001653672,0.000194128,0
2003-11-06,1.44E-05,0.0058,0.0007,0.0019,0.00004,-9.27E-05,0.000147135,0
2003-11-07,-1.13E-03,-0.0033,0.0034,0.003,0.00004,-0.00114209,5.10E-05,0
2003-11-10,6.09E-04,-0.0074,-0.0098,-0.0006,0.00004,0.000433442,0.000215746,0
2003-11-11,1.55E-03,-0.0021,-0.0058,-0.0012,0.00004,-0.001307913,0.002897859,0
2003-11-12,-4.35E-03,0.0133,0.0102,-0.0026,0.00004,-0.004607595,0.00030213,0
2003-11-13,4.21E-03,0.0003,0.0023,-0.0026,0.00004,0.004246018,0,0
2003-11-14,1.57E-03,-0.0083,-0.006,-0.0012,0.00004,0.001405495,0.000205087,0
2003-11-17,-1.70E-03,-0.0072,-0.0065,-0.0019,0.00004,-0.001721884,6.07E-05,0
2003-11-18,-8.00E-04,-0.0087,0.0012,0.0006,0.00004,-0.000906115,0.000146579,0
2003-11-19,-8.98E-04,0.0076,0.0009,-0.0006,0.00004,-0.000858098,0,0
2003-11-20,4.48E-04,-0.0077,0.0012,0.0004,0.00004,-0.000327984,0.000826764,1.09E-05
2003-11-21,-8.32E-04,0.0021,0.0013,0.006,0.00004,-0.00108309,0.0002908,0
2003-11-24,1.22E-03,0.0171,0.0072,-0.0001,0.00004,0.000897649,0.000362904,0
2003-11-25,7.57E-04,0.0031,0.0026,0.0055,0.00004,0.000808093,0,1.08E-05
2003-11-26,3.20E-03,0.004,-0.001,0.0046,0.00004,0.003214396,0.00002952,0
2003-11-28,3.71E-03,0.0011,0.0027,-0.0019,0.00004,0.003754082,0,0
2003-12-01,2.90E-03,0.0111,0.0036,-0.0004,0.00004,0.003072978,0.000038718,0.000168317
2003-12-02,1.31E-03,-0.0027,0.0013,0.0012,0.00004,0.000976433,0.000387007,9.85E-06
2003-12-03,2.25E-03,-0.0034,-0.0114,0.0027,0.00004,0.001829161,0.00046134,0
2003-12-04,3.11E-04,0.0026,-0.0035,-0.003,0.00004,0.000351247,0,0
2003-12-05,4.98E-04,-0.0079,-0.0004,-0.0017,0.00004,0.000237035,0.000300718,0
2003-12-08,1.11E-03,0.0065,-0.0016,0.0026,0.00004,0.001021699,0.000126356,0
2003-12-09,4.27E-04,-0.0095,-0.0055,0.0003,0.00004,0.000216354,0.000250695,0
2003-12-10,1.93E-05,-0.0029,-0.0099,-0.0024,0.00004,-0.000619175,0.000678454,0
2003-12-11,5.23E-04,0.0134,0.0122,0.0019,0.00004,-0.001729126,0.002292344,0
2003-12-12,2.45E-03,0.0031,0.0053,0.0029,0.00004,0.002154695,0.000338877,0
2003-12-15,3.80E-03,-0.0073,-0.0135,0.0006,0.00004,0.003351678,0.000486186,0
2003-12-16,-2.92E-03,0.005,-0.0027,0.001,0.00004,-0.003181767,0.000300352,0
2003-12-17,1.42E-03,0.0015,-0.0001,-0.0021,0.00004,0.001007032,0.000454247,0
2003-12-18,2.29E-03,0.0124,0.0028,0.0024,0.00004,0.00189853,0.000435289,0
2003-12-19,1.73E-03,-0.0004,-0.0012,0.0037,0.00004,0.001603595,0.000171031,0
2003-12-22,1.19E-03,0.0036,0.0001,0.0022,0.00004,0.000723446,0.000504695,0
2003-12-23,5.73E-04,0.0036,0.0064,0.0005,0.00004,0.000458107,0.00015508,0
2003-12-24,2.10E-03,-0.0018,-0.0022,0.0008,0.00004,0.001802986,0.000337747,0
2003-12-26,2.27E-03,0.0019,0.0033,0.0006,0.00004,0.001913295,0.000398926,0
2003-12-29,2.59E-03,0.0129,0.0033,0.0001,0.00004,0.001497595,0.001134741,0
2003-12-30,3.12E-03,0.0005,0.0023,0.0017,0.00004,0.003095271,6.97E-05,0
2003-12-31,1.58E-03,0.0001,-0.0138,0.0003,0.00004,0.001508431,0.000110178,0
2004-01-02,2.98E-03,-0.0017,0.0081,0.0043,0.00003,0.003012446,0,0
2004-01-05,1.52E-03,0.012,0.0042,0.0001,0.00003,0.001321936,0.000226713,0
2004-01-06,3.30E-03,0.002,0.0009,0.0026,0.00003,0.003250125,8.06E-05,0
2004-01-07,8.87E-04,0.0034,0.0057,-0.0008,0.00003,0.000916509,0,0
2004-01-08,1.73E-03,0.0045,0.0031,0.007,0.00003,0.001760073,0,0
2004-01-09,3.85E-03,-0.0072,-0.0001,0.0029,0.00003,0.00379969,8.52E-05,0
2004-01-12,4.99E-03,0.0057,0.0092,0.0012,0.00003,0.005020683,0,0
2004-01-13,4.63E-03,-0.0051,0.0019,0.0007,0.00003,0.003321088,0.001342141,0
2004-01-14,2.35E-04,0.008,-0.0008,0.0047,0.00003,-0.000822685,0.001088009,0
2004-01-15,2.46E-03,0.0015,0.0002,-0.0031,0.00003,0.002387832,0.00010224,0
2004-01-16,5.80E-04,0.0072,0.0008,0.0061,0.00003,0.000312627,0.00029703,0
2004-01-20,7.59E-06,0.0015,0.0116,0.0058,0.00003,-0.000107549,0.000145143,0
2004-01-21,1.43E-03,0.0064,-0.0109,0.0034,0.00003,0.001456994,0,0
2004-01-22,3.07E-03,-0.0032,-0.0056,-0.0005,0.00003,0.003101293,0,0
2004-01-23,1.62E-03,-0.0014,0.009,-0.001,0.00003,0.001537009,0.000112312,0
2004-01-26,-9.58E-04,0.0112,-0.001,-0.003,0.00003,-0.001217015,0.000288645,0
2004-01-27,-1.98E-03,-0.0096,-0.0002,0.0001,0.00003,-0.001949921,0,0
2004-01-28,-1.09E-03,-0.0144,-0.0033,-0.0039,0.00003,-0.001048197,0,9.80E-06
2004-01-29,-4.70E-03,0.0025,-0.01,-0.0076,0.00003,-0.004668394,0,0
2004-01-30,-3.64E-03,-0.0015,0.0021,0.0045,0.00003,-0.00369177,7.74E-05,0
2004-02-02,3.43E-03,0.0027,-0.0035,-0.0013,0.00003,0.003458711,0,0
2004-02-03,4.20E-04,0,-0.0015,-0.0004,0.00003,0.000413671,0.000035875,0
2004-02-04,1.64E-03,-0.0097,-0.0152,-0.0059,0.00003,0.001537062,0.000136564,0
2004-02-05,-1.56E-03,0.0023,0.0048,0.0018,0.00003,-0.001607793,7.91E-05,0
2004-02-06,1.04E-03,0.0139,0.0104,0.0041,0.00003,0.001020778,0.000052678,0
2004-02-09,4.66E-03,-0.001,0.0034,0.0027,0.00003,0.004690714,0,0
2004-02-10,2.36E-03,0.0056,0.0053,0.0016,0.00003,0.002229292,0.000158941,0
2004-02-11,3.44E-03,0.0104,-0.0039,0.0016,0.00003,0.001429343,0.002041654,0
2004-02-12,1.56E-03,-0.0046,-0.001,-0.0017,0.00003,0.000947839,0.000637206,0
2004-02-13,8.24E-04,-0.0057,-0.0073,-0.0013,0.00003,0.000710538,0.000143402,0
2004-02-17,5.49E-04,0.0098,0.0031,0.0058,0.00003,0.000550854,2.80E-05,0
2004-02-18,2.30E-04,-0.0039,-0.0013,0.0009,0.00003,0.000270067,0,9.76E-06
2004-02-19,-2.60E-04,-0.0054,-0.0098,-0.0015,0.00003,-0.000423457,0.000193587,0
2004-02-20,-2.71E-03,-0.003,-0.0011,-0.003,0.00003,-0.002895846,0.000220308,0
2004-02-23,-4.61E-03,-0.0051,-0.0118,-0.0018,0.00003,-0.004688432,0.00010644,0
2004-02-24,-7.43E-03,-0.0014,0.0029,-0.0018,0.00003,-0.007826745,0.000423734,0
2004-02-25,-2.48E-03,0.0054,0.0051,0.0019,0.00003,-0.002388481,0,5.69E-05
2004-02-26,5.33E-03,0.0029,0.0045,0.0042,0.00003,0.005362515,0,0
2004-02-27,4.37E-03,0.0011,0.0018,0.0031,0.00003,0.00437181,0.0000297,0
2004-03-01,4.46E-03,0.0102,0.005,0.0029,0.00004,0.004501136,0,0
2004-03-02,1.75E-03,-0.0059,-0.0009,0.0012,0.00004,0.001624899,0.000166226,0
2004-03-03,-8.94E-04,0.0014,-0.002,-0.0012,0.00004,-0.000959052,0.00010501,0
2004-03-04,-1.44E-03,0.0044,0.0077,0.0029,0.00004,-0.001397065,0,0
2004-03-05,1.70E-03,0.0024,-0.001,-0.0022,0.00004,0.001644168,0.00009471,0
2004-03-08,5.12E-03,-0.0084,-0.0035,0.002,0.00004,0.005049845,0.000112706,0
2004-03-09,1.05E-03,-0.0066,-0.0042,-0.0034,0.00004,0.001041868,4.37E-05,0
2004-03-10,7.74E-04,-0.015,-0.0027,-0.0039,0.00004,0.000272849,0.000541595,0
2004-03-11,-2.69E-03,-0.0142,0.0035,-0.0016,0.00004,-0.004957712,0.002306977,0
2004-03-12,-3.84E-03,0.0134,0.0098,0.0022,0.00004,-0.003960172,0.000155678,0
2004-03-15,1.70E-03,-0.0156,-0.0106,-0.0029,0.00004,0.001564161,0.000176011,0
2004-03-16,-1.88E-03,0.0043,-0.0066,-0.0007,0.00004,-0.001844845,0,0
2004-03-17,1.73E-03,0.0122,0.007,0.0036,0.00004,0.001572043,0.000198778,0
2004-03-18,1.75E-03,-0.002,-0.0051,0.0012,0.00004,0.001712204,0.0000743,0
2004-03-19,-3.06E-04,-0.01,0.0031,0.0027,0.00004,-0.000424757,0.000158944,0
2004-03-22,-1.99E-03,-0.0142,-0.0064,-0.0022,0.00004,-0.002312171,0.000363512,0
